chrom,window_start,window_stop,center,n_variants,window_id,fst,dxy,pi_AA,pi_BB
1,60000000,60100000,60050000,4493,0,0.0033652247124591173,0.001133163921609185,0.0011377151875532697,0.0011209859532005798
1,60100000,60200000,60150000,4835,1,0.0021509552255934506,0.0014670607988792523,0.0014613669690346845,0.0014664434645406013
1,60200000,60300000,60250000,3315,2,0.006456968399233711,0.0009230390381335145,0.0009150371161969918,0.0009191208922690635
1,60300000,60400000,60350000,2216,3,0.001960911156316963,0.0005559394462306227,0.000562149660820977,0.0005475489359155699
1,60400000,60500000,60450000,1770,4,0.0027402971063012226,0.0002456217136524832,0.00024027126156120216,0.00024962601280143046
1,60500000,60600000,60550000,3023,5,0.24222957596948902,0.0008543148082103972,0.0008294956933956244,0.000465253295550652
1,60600000,60700000,60650000,3583,6,0.23807502719156873,0.0007955514201416098,0.0007719958577348519,0.00044030513058335716
1,60700000,60800000,60750000,4529,7,0.30351516923666666,0.0014827447384332868,0.0012028081963821008,0.0008626102400437749
1,60800000,60900000,60850000,4621,8,0.39542975583382073,0.001546741636490459,0.001044233982541148,0.0008259939551289317
1,60900000,61000000,60950000,7138,9,0.5379704316386367,0.0016651820738545046,0.0007045404717032073,0.0008341862379489716
1,61000000,61100000,61050000,6664,10,0.44642777488155616,0.0019977822702372766,0.0007350681002442609,0.0014767654530306277
1,61100000,61200000,61150000,6124,11,0.3511438304608363,0.0015567873942887928,0.0007353929718021137,0.0012848692390880834
1,61200000,61300000,61250000,6451,12,0.5161921750227776,0.0019043626967122414,0.0007247528785279781,0.0011179382700002556
1,61300000,61400000,61350000,6379,13,0.42451206427170546,0.002091003156822828,0.0007363792732609601,0.0016703149073817054
1,61400000,61500000,61450000,6810,14,0.36792160751166725,0.0021580414465969607,0.0013418218499249067,0.0013862808870515264
1,61500000,61600000,61550000,4567,15,0.4134533106193891,0.0016637463329138356,0.0010631532355234868,0.0008885765715560203
1,61600000,61700000,61650000,6411,16,0.34585219135719697,0.0022043554172739162,0.0016471693960212887,0.0012367791353379996
1,61700000,61800000,61750000,7586,17,0.41483594135059254,0.0026433050791210785,0.0014187780429808657,0.0016747562137133314
1,61800000,61900000,61850000,7948,18,0.34174691977820804,0.00220091189446197,0.0013422752274431628,0.001555238840209625
1,61900000,62000000,61950000,7473,19,0.37418122730726716,0.002194551701096877,0.0013418721832247633,0.0014049111211576672
1,62000000,62100000,62050000,8356,20,0.2779152867772045,0.002789721647421049,0.0020136577239579343,0.0020151729875410064
1,62100000,62200000,62150000,6976,21,0.32673932430357777,0.0020958335058545437,0.001325187199983474,0.001496897364614237
1,62200000,62300000,62250000,8878,22,0.5689694839333288,0.003317959641813259,0.0017010266080049613,0.0011592571053933916
1,62300000,62400000,62350000,8260,23,0.3439945631724486,0.0026255158774327807,0.0016894357288341868,0.0017552696513117951
1,62400000,62500000,62450000,9595,24,0.38778825001181727,0.0028150640847713934,0.001323017741850888,0.002123812877482719
1,62500000,62600000,62550000,8891,25,0.49827206787439043,0.0034244443588390366,0.0014212019659279448,0.00201507680775114
1,62600000,62700000,62650000,7525,26,0.33666772771933623,0.0024960765252330795,0.0014422940420851433,0.001869162184453487
1,62700000,62800000,62750000,9056,27,0.31503690610483687,0.0029054413127672894,0.0017802495624560473,0.0021999905789918386
1,62800000,62900000,62850000,8101,28,0.3503224591681981,0.0026617013250742855,0.0016957661966418,0.001762728945964268
1,62900000,63000000,62950000,7918,29,0.38554941588571257,0.003300826271107949,0.00204184831570935,0.002014540944974815
1,63000000,63100000,63050000,8407,30,0.3595973069017407,0.0030226985627566914,0.0016726852469941022,0.002198803353033208
1,63100000,63200000,63150000,10471,31,0.3870697197405688,0.0040436945380453075,0.0021505897364813517,0.002806415916493936
1,63200000,63300000,63250000,9631,32,0.27380083354704776,0.0028674358286428156,0.001986235259939631,0.002178423757295919
1,63300000,63400000,63350000,11078,33,0.42348791178034806,0.0043341061701090726,0.002912348304720746,0.002084980892669771
1,63400000,63500000,63450000,10511,34,0.29224505476090495,0.0034233032769973924,0.0022677230889500953,0.0025779965577461305
1,63500000,63600000,63550000,11093,35,0.37640968299397126,0.0033487902197415196,0.0016926115671816097,0.002483934742249042
1,63600000,63700000,63650000,10983,36,0.45472458644425423,0.003793746124866903,0.001571034003529891,0.002566238970794735
1,63700000,63800000,63750000,8484,37,0.4155457762049238,0.0029336550939790215,0.001672528585958625,0.0017566456357093493
1,63800000,63900000,63850000,10444,38,0.4674291335955166,0.00362048494152096,0.0016244251902267721,0.0022319044139936495
1,63900000,64000000,63950000,9240,39,0.3624485823914278,0.003195217350665441,0.0014876471748908077,0.0025865835280777195
1,64000000,64100000,64050000,8587,40,0.34803751822685847,0.0033796186619203927,0.001783236527459338,0.0026235326130855676
1,64100000,64200000,64150000,8173,41,0.4185254634795136,0.002890746085330769,0.0010060149606084992,0.0023557755197237827
1,64200000,64300000,64250000,9362,42,0.3316833459237176,0.0029633549603398012,0.0013704632343922668,0.0025904557094770598
1,64300000,64400000,64350000,9171,43,0.22763516768584208,0.0024990582812875997,0.0012158211439322894,0.0026445483168078105
1,64400000,64500000,64450000,8867,44,0.35242866520243643,0.0025329653889232602,0.0009759259994944593,0.002304625556307762
1,64500000,64600000,64550000,8220,45,0.42076344262732174,0.002469895650260825,0.0010786502765186658,0.0017826574305350638
1,64600000,64700000,64650000,7207,46,0.44698586038116483,0.0025509533924821487,0.0011824534922108344,0.0016389730988917188
1,64700000,64800000,64750000,6682,47,0.5546354525507786,0.0028907015541153923,0.0008685387385782939,0.0017062932403404797
1,64800000,64900000,64850000,7360,48,0.5747669682709977,0.003222717732390444,0.0009272234893160407,0.0018135885741863852
1,64900000,65000000,64950000,7545,49,0.5057172581982513,0.003438765848310854,0.0009876514012850935,0.00241179382254956
1,65000000,65100000,65050000,10220,50,0.3434715181183116,0.0036710394006179876,0.0017184601628601687,0.0031018236863710126
1,65100000,65200000,65150000,7574,51,0.363748596300189,0.002405421864255962,0.0008757628100326597,0.002185143265213553
1,65200000,65300000,65250000,6832,52,0.3799542515538463,0.0024308810979427257,0.0013753692501525547,0.001639145729362512
1,65300000,65400000,65350000,7374,53,0.2960053132205756,0.0028830664210229675,0.00180699860300023,0.0022523282810644686
1,65400000,65500000,65450000,6951,54,0.3138634038033657,0.002029275234052145,0.0012664469684936282,0.0015182730351837464
1,65500000,65600000,65550000,6464,55,0.37683743693046146,0.002372445885826511,0.0011893434391718445,0.001767495478739045
1,65600000,65700000,65650000,5955,56,0.3500253636246892,0.0017015996782286677,0.0008629102329660289,0.0013490830312600536
1,65700000,65800000,65750000,7238,57,0.4678352352509466,0.0020452646791107583,0.0011175524991628458,0.0010592830944542522
1,65800000,65900000,65850000,6603,58,0.3963184592680517,0.002148080469898777,0.0009686731107051827,0.0016248399446642486
1,65900000,66000000,65950000,5970,59,0.3486654679186491,0.0018547232111583841,0.0008639729823903926,0.00155211756737019
1,66000000,66100000,66050000,5252,60,0.3963768171876998,0.0017387036720430686,0.0008462299203322901,0.0012528137686398765
1,66100000,66200000,66150000,5938,61,0.3669989459431534,0.00179998561088987,0.0007321826300883046,0.0015466029478726185
1,66200000,66300000,66250000,5216,62,0.3214766316896934,0.001837412154264913,0.0009099230777339578,0.001583531090038313
1,66300000,66400000,66350000,4037,63,0.49345325836301757,0.0014967420721251066,0.0006885706896800562,0.0008277689497318758
1,66400000,66500000,66450000,5733,64,0.4391373882159648,0.001885541620359099,0.0010320553723564736,0.0010830042232877707
1,66500000,66600000,66550000,4728,65,0.3635830004140986,0.0015616336479714757,0.0008115482913236818,0.00117615211006513
1,66600000,66700000,66650000,6417,66,0.3563673085846931,0.00244399041407594,0.0011793388768917045,0.00196672537911814
1,66700000,66800000,66750000,5870,67,0.30614897561996124,0.0024326683752058484,0.0013746094035369007,0.0020012094846901373
1,66800000,66900000,66850000,6109,68,0.27988855301232046,0.0019294907146927495,0.001236516082360063,0.0015423806186533537
1,66900000,67000000,66950000,5473,69,0.3654040487394994,0.0022326565266090224,0.001377434671506773,0.0014562349131760951
1,67000000,67100000,67050000,4023,70,0.3009067318206721,0.0012053946242921484,0.0008719217874982754,0.000813444747186113
1,67100000,67200000,67150000,4534,71,0.3706569333438504,0.001437779348317275,0.0009549775400244144,0.000854735388465347
1,67200000,67300000,67250000,5666,72,0.4787496157793428,0.0022060795601592763,0.0008703600771906261,0.001429479559518108
