region,window_start,window_stop,n_variants,pi_AA,pi_BB,dxy,fst,chrom,center,window_id
inversion,60000000,60500000,16629,0.0008633080390334059,0.0008607450517454355,0.0008649649837010102,0.0033971760324951303,1,60250000,0
inversion,60500000,61000000,22894,0.0009106148403513693,0.00068566977185113,0.001268906935426063,0.3710001231624796,1,60750000,1
inversion,61000000,61500000,32428,0.0008546830147520162,0.0013872337513104436,0.001941595392931631,0.4226611851716953,1,61250000,2
inversion,61500000,62000000,33985,0.001362649617038744,0.0013520523763949272,0.0021813740849735345,0.37775413851894357,1,61750000,3
inversion,62000000,62500000,42065,0.001610465000526336,0.001710081997268647,0.0027288189514585513,0.3915779945716147,1,62250000,4
inversion,62500000,63000000,41491,0.0016762720165640992,0.0019722998924271437,0.0029576979586042667,0.3832074877056166,1,62750000,5
inversion,63000000,63500000,50098,0.0021979163274172472,0.00236932409544781,0.003538247675310073,0.354590062372558,1,63250000,6
inversion,63500000,64000000,50244,0.0016096493043575926,0.0023250614581649064,0.0033783787461546017,0.41766287054097045,1,63750000,7
inversion,64000000,64500000,44160,0.0012702923731773607,0.002503787543080401,0.0028531486755602685,0.3386114175216562,1,64250000,8
inversion,64500000,65000000,37014,0.0010089034795817435,0.0018706612333006605,0.0029146068355118556,0.5060114664871137,1,64750000,9
inversion,65000000,65500000,38951,0.001408607558907872,0.0021393427994390837,0.0026839368035782543,0.3390398846916757,1,65250000,10
inversion,65500000,66000000,32230,0.0010004904528792306,0.0014705638232975638,0.002024422784844657,0.38968917592811986,1,65750000,11
inversion,66000000,66500000,26176,0.0008417923380381956,0.0012587441959140855,0.0017516770259364209,0.4004212811921192,1,66250000,12
inversion,66500000,67000000,28597,0.0011958894651238198,0.001628540501140586,0.0021200879357110174,0.3338884867251593,1,66750000,13
inversion,67000000,67500000,26564,0.0009929781138000838,0.0013062333822894839,0.0018662034698288396,0.38398691963088105,1,67250000,14
inversion,67500000,68000000,25393,0.0009343945636201788,0.0013466360124098722,0.0018700430720021571,0.39011282408915193,1,67750000,15
inversion,68000000,68500000,26840,0.0010403509967970858,0.001217742451107759,0.0019270311030721806,0.4141004148026181,1,68250000,16
inversion,68500000,69000000,21742,0.000863331914696212,0.0010189885365204244,0.0015365881899064232,0.38750002649333587,1,68750000,17
inversion,69000000,69500000,31932,0.001272634439838296,0.0018280628797221145,0.002462085934813944,0.3703109067566787,1,69250000,18
inversion,69500000,70000000,35195,0.0018293622177871297,0.0020773550296113246,0.0030111172600379606,0.3512844386291144,1,69750000,19
inversion,70000000,70500000,34319,0.00113408354235793,0.0017662670966315033,0.002349721855528745,0.38283107165109465,1,70250000,20
inversion,70500000,71000000,34179,0.0010957607458308024,0.0017757267515653664,0.0022785653048359882,0.36989133221204307,1,70750000,21
inversion,71000000,71500000,30911,0.0012300882698200561,0.0016038325006641828,0.0022838998820014235,0.37958734688475293,1,71250000,22
inversion,71500000,72000000,28464,0.0015908989819653167,0.0016155586945236248,0.0024906336227237353,0.35629679788425395,1,71750000,23
inversion,72000000,72500000,32121,0.0012517575048195618,0.0015339861418124452,0.00201998138661578,0.31045313954621045,1,72250000,24
inversion,72500000,73000000,43501,0.001695146356579646,0.0022706463977084615,0.0031499148942435926,0.3704920787645374,1,72750000,25
inversion,73000000,73500000,43743,0.001712421852988591,0.002104306567735387,0.0031097486064569045,0.3863284619215204,1,73250000,26
inversion,73500000,74000000,42580,0.0017303832269875909,0.002244045239577468,0.0029800429604619305,0.33315919949881356,1,73750000,27
inversion,74000000,74500000,53254,0.0015852694459775143,0.0025780750188343386,0.0035936089356277054,0.4207293365263968,1,74250000,28
inversion,74500000,75000000,51476,0.0015548975718611573,0.002309147980636851,0.0033522149673588402,0.4236578515813307,1,74750000,29
inversion,75000000,75500000,51268,0.002046640735952137,0.0025982595712565446,0.0033728380935519548,0.31142554454538196,1,75250000,30
inversion,75500000,76000000,47867,0.0020305092127203346,0.0024146545247880247,0.003492238408513333,0.3635652527800505,1,75750000,31
inversion,76000000,76500000,41220,0.0016173692506391316,0.002170991461138704,0.0027873930148704083,0.3204473334820088,1,76250000,32
inversion,76500000,77000000,36920,0.0014559529002049656,0.0019097519014807803,0.0024537478945381754,0.3141706185102978,1,76750000,33
inversion,77000000,77500000,28095,0.0009733482117574693,0.001316970543612113,0.0019225428511369085,0.4043517017019229,1,77250000,34
inversion,77500000,78000000,22321,0.0008147855254061219,0.0014502530457975748,0.0017086280297742788,0.33717622216962895,1,77750000,35
inversion,78000000,78500000,17068,0.0005244008162668267,0.0010627698877869402,0.0013255244515948921,0.40130462997340993,1,78250000,36
inversion,78500000,79000000,19306,0.0006292904019522793,0.0012208566492491841,0.0012474147362890099,0.25840740958954145,1,78750000,37
inversion,79000000,79500000,29735,0.0011683996906124883,0.001983858012350353,0.002361527592235507,0.33258080207762786,1,79250000,38
inversion,79500000,80000000,19678,0.000941994603365103,0.0010049191594138748,0.000978889389085266,0.005549664503816086,1,79750000,39
control,10000000,10500000,81968,0.004934470236636778,0.004854515938859117,0.004912057621330448,0.0035757995807295263,1,10250000,0
control,10500000,11000000,96029,0.004934680806662973,0.004994154183472477,0.004976273988316707,0.0023826045907552437,1,10750000,1
control,11000000,11500000,94014,0.004532180105298106,0.004623367941674679,0.004599261222570785,0.00467188055752198,1,11250000,2
control,11500000,12000000,99883,0.004654535773239804,0.004686701540606546,0.004687772924014242,0.0036593639174617837,1,11750000,3
control,12000000,12500000,106334,0.004782142590756574,0.004819418239874164,0.004821389040736546,0.004274416614679505,1,12250000,4
control,12500000,13000000,107774,0.0046782865502211215,0.004843852561730351,0.004778414387564085,0.0036298299356105606,1,12750000,5
control,13000000,13500000,100583,0.004498434608310521,0.004511146168453914,0.004515202824254264,0.0023060837525296267,1,13250000,6
control,13500000,14000000,98762,0.004969480357469537,0.005020049434018107,0.005015154501208836,0.004065598669100854,1,13750000,7
control,14000000,14500000,92107,0.004597853792151827,0.004642333796437808,0.004633713177233492,0.002939194209491961,1,14250000,8
control,14500000,15000000,107715,0.005958139768751538,0.005974800497808834,0.0059852965823612245,0.0031454496569377098,1,14750000,9
control,15000000,15500000,110011,0.005995882324057479,0.006034814443972265,0.0060385499929402195,0.003842248379688198,1,15250000,10
control,15500000,16000000,91056,0.004358219555539481,0.004398434032505708,0.004394898849307374,0.003770747826795925,1,15750000,11
control,16000000,16500000,93002,0.004798904492276009,0.004870950415595828,0.0048498594898268,0.003078859485000838,1,16250000,12
control,16500000,17000000,98194,0.00541864756598226,0.005385122592627065,0.005419791058203083,0.0033038135062135377,1,16750000,13
control,17000000,17500000,97543,0.0055455586592228195,0.005608000257777682,0.005597647604490162,0.003728020673146965,1,17250000,14
control,17500000,18000000,91949,0.004401012374771901,0.004478817383759062,0.0044567184747504015,0.0037703964431078,1,17750000,15
control,18000000,18500000,81854,0.003857665625059336,0.003925273491126483,0.00390540958577546,0.003569415032273485,1,18250000,16
control,18500000,19000000,78380,0.0036981624247068357,0.003754879967425011,0.0037390347053577674,0.003346721888930007,1,18750000,17
control,19000000,19500000,61753,0.0029865801452196327,0.0030150214163822088,0.0030109818089432893,0.0033812984562890573,1,19250000,18
control,19500000,20000000,27675,0.0013168499991239638,0.0013374434781912958,0.0013314710597782185,0.0032477770273904027,1,19750000,19
control,20000000,20500000,32092,0.0012596569513028265,0.0013090516979168251,0.001289057303361467,0.0036483861030653744,1,20250000,20
control,20500000,21000000,33372,0.0012208225568477004,0.0012862285898310247,0.0012578088543379157,0.0034053512851066553,1,20750000,21
control,21000000,21500000,29513,0.0010620475652252186,0.001076518922902068,0.001072816816854257,0.003293733594659247,1,21250000,22
control,21500000,22000000,30347,0.0012420055845237122,0.0012888933890376634,0.0012695503398900763,0.003230161877416937,1,21750000,23
control,22000000,22500000,57605,0.0027420351340857827,0.0027802227531165216,0.002770551151870093,0.003400842558942362,1,22250000,24
control,22500000,23000000,91980,0.004732127883844048,0.00476961517418606,0.004767163948839198,0.003417633628566497,1,22750000,25
control,23000000,23500000,90257,0.0045376510238011696,0.00463186313885606,0.0045993373457411555,0.0031700793650886747,1,23250000,26
control,23500000,24000000,84195,0.004270850498515027,0.004374476435371401,0.0043395465391197815,0.003890515293359644,1,23750000,27
control,24000000,24500000,101594,0.005232684143198746,0.005287860485939212,0.005276156236915924,0.0030105102339950318,1,24250000,28
control,24500000,25000000,91731,0.0047581648592062925,0.004797147828979232,0.004795059656996473,0.00362942573169439,1,24750000,29
control,25000000,25500000,96026,0.004991209230378363,0.005053606088444965,0.005040408989088672,0.0035714025818982956,1,25250000,30
control,25500000,26000000,109436,0.005508539324117717,0.005534886214211513,0.005539487024167061,0.003208646382853736,1,25750000,31
control,26000000,26500000,105576,0.005111442352431156,0.00517483703460117,0.005163904275777868,0.004021101312723645,1,26250000,32
control,26500000,27000000,98331,0.005118347986205299,0.0051363869054545375,0.0051452679015447905,0.0034790133493339285,1,26750000,33
control,27000000,27500000,88515,0.004675322208391062,0.0047237387645995225,0.004716505867078469,0.003599143319613388,1,27250000,34
control,27500000,28000000,105458,0.00535544706656845,0.005411618839958776,0.0054006288316513825,0.003165534777721778,1,27750000,35
control,28000000,28500000,89259,0.004613159674175808,0.004664491728370097,0.004656675091286243,0.003833076103354501,1,28250000,36
control,28500000,29000000,114662,0.005585723998930755,0.005661868762094381,0.005643777588228617,0.0035403960209898395,1,28750000,37
control,29000000,29500000,96466,0.004895672046753381,0.004950017752576232,0.0049383298444228615,0.003135664333147391,1,29250000,38
control,29500000,30000000,105695,0.005116797490280652,0.005254108091880886,0.005202994246890595,0.0033714155691643584,1,29750000,39
