WinCenter,pi_AA,theta_w_AA,tajd_AA,nSites_AA,pi_BB,theta_w_BB,tajd_BB,nSites_BB,in_inv,in_ctl,z_pi_AA,z_tajd_AA,z_pi_BB,z_tajd_BB,r,z_r
60045000,0.004417551709810113,0.020738117255993685,-2.399038,24067,0.0045708778825778035,0.016763482527942825,-2.357633,24067,True,False,-2.4872510739777156,-1.7932581883231213,-2.474041922219364,-1.6783232486927249,0.9664558588729524,0.9195087229890362
60055000,0.004377159955032722,0.020598815995503273,-2.400729,24907,0.004573956197053038,0.01681332950576143,-2.359827,24907,True,False,-2.4977456833405856,-1.8033004436795697,-2.4732153947178444,-1.6897129386599137,0.9569746115743062,0.8709959865817141
60065000,0.004206654371639116,0.020353348496315475,-2.418439,25105,0.0044089577773351925,0.016456409520015935,-2.373142,25105,True,False,-2.542046543795051,-1.9084739163955289,-2.5175174738917816,-1.7588349632328857,0.95411536786856,0.8563660827460693
60075000,0.0044194527389253896,0.020273257446894274,-2.383892,24809,0.004484310774315772,0.01614772473699061,-2.341274,24809,True,False,-2.486757147480532,-1.7033114114876635,-2.497285192613356,-1.5933989377660065,0.9855366769489167,1.0171396220256532
60085000,0.0044587039537879085,0.020332171343819525,-2.380063,25621,0.0044629666679676825,0.016082978962569768,-2.342079,25621,True,False,-2.4765588738657702,-1.6805723246988762,-2.50301608561795,-1.5975779261085716,0.999044869814877,1.0862570471073902
60095000,0.004205135336214837,0.02059721062141288,-2.426584,28226,0.0044369779403928816,0.016044688785478312,-2.345573,28151,True,False,-2.5424412204679028,-1.9568442120065699,-2.5099940595198675,-1.6157162929022597,0.9477476319935195,0.8237842628349489
60105000,0.003681381893860562,0.01984472761958818,-2.483713,31713,0.003948543112712561,0.015432911720083443,-2.412956,31638,True,False,-2.6785231463525223,-2.296113287262929,-2.6411388210527673,-1.9655209779792846,0.9323392929427924,0.7449443520829839
60115000,0.003790900740521327,0.01974007991706161,-2.46397,33760,0.004046220454208104,0.015386044559893128,-2.390065,33685,True,False,-2.6500678955244465,-2.1788665412532633,-2.6149124528012697,-1.846687161644331,0.9368992083905754,0.7682760899008089
60125000,0.00400834718803552,0.0196798347094563,-2.428321,32095,0.004307463133208255,0.015506378486554095,-2.34189,31980,True,False,-2.593570832285127,-1.9671596452142273,-2.5447687879803125,-1.5965967723237946,0.9305586755074675,0.7358334596485537
60135000,0.0042398909131304155,0.019831609388389883,-2.397438,31507,0.004532447693679918,0.015854674662334353,-2.315676,31392,True,False,-2.5334110061352897,-1.7837563500201559,-2.484360428748911,-1.4605122997623308,0.9354528060064661,0.7608752769709282
60145000,0.004651157179269329,0.019992212982158027,-2.339759,29425,0.004794096821449256,0.01618818601165128,-2.282193,29353,True,False,-2.42655556420064,-1.441221017847149,-2.4141076324248547,-1.286692341160992,0.9701842395964134,0.9385857437191286
60155000,0.005938084483788246,0.021320213229353287,-2.199985,28467,0.006007844295774648,0.017235073767605632,-2.112279,28400,True,False,-2.0921853588512715,-0.6111523009978684,-2.088216409971441,-0.4046195147778155,0.9883885452831286,1.0317317882679329
60165000,0.00684763361829688,0.022317953221568407,-2.113665,27021,0.006981329079171923,0.018404776471024707,-2.012648,26954,True,False,-1.8558657704696409,-0.09852812455282403,-1.8268357250991902,0.11259388591537245,0.980849568991969,0.9931570777816554
